Year,Round,Driver,Expected_Pace_Delta
2023,10,HUL,232.69065776458774
2023,10,LEC,85.69411322356609
2023,10,MAG,-162.9027403436503
2023,10,NOR,-30.297195251117046
2023,10,OCO,-49.91198107408127
2023,10,PER,170.39927742067266
2023,10,PIA,-13.306939680837786
2023,10,RUS,123.03210243685044
2023,10,SAI,-7.136580170063098
2023,10,SAR,166.55952230781986
2023,10,STR,153.30643258814598
2023,10,TSU,280.9169153663315
2023,10,VER,136.77216893045807
2023,10,ZHO,218.04504438564254
2023,11,ALB,183.15399153190174
2023,11,ALO,86.45871445064222
2023,11,BOT,147.51430687248376
2023,11,GAS,-321.34787399124343
2023,11,HAM,86.17957944945374
2023,11,HUL,128.1602355194209
2023,11,LEC,102.69433822171413
2023,11,MAG,125.49426977921576
2023,11,NOR,86.88118797686184
2023,11,OCO,-89.19311222968918
2023,11,PER,103.30968807719
2023,11,PIA,89.99106462141572
2023,11,RIC,106.76940991523406
2023,11,RUS,90.01589518521996
2023,11,SAI,55.81614166536201
2023,11,SAR,159.34768643631287
2023,11,STR,144.50586332046078
2023,11,TSU,91.97240586530279
2023,11,VER,49.754402620910696
2023,11,ZHO,151.50415707195407
2023,12,ALB,433.88334028250574
2023,12,ALO,381.77156770847614
2023,12,BOT,328.2358163527424
2023,12,GAS,316.1873971762525
2023,12,HAM,418.30358334408356
2023,12,HUL,383.4513789351413
2023,12,LEC,412.07234831223195
2023,12,MAG,330.7560045163864
2023,12,NOR,162.43819431764496
2023,12,OCO,399.1832514412672
2023,12,PER,411.03692831862463
2023,12,PIA,46.627901451453454
2023,12,RIC,310.0733119681099
2023,12,RUS,311.577421585358
2023,12,SAI,279.08237164239654
2023,12,SAR,432.3994145886445
2023,12,STR,315.7485829964289
2023,12,TSU,373.79978634529107
2023,12,VER,407.5714186257319
2023,12,ZHO,402.4437141734652
2023,13,ALB,-292.28246118723837
2023,13,ALO,-158.53295957663795
2023,13,BOT,-80.53675390844
2023,13,GAS,-101.96638643019378
2023,13,HAM,-154.53654559040206
2023,13,HUL,-83.78086116595841
2023,13,LAW,-211.1525409049773
2023,13,LEC,-338.1667955955045
2023,13,MAG,-3.899305119962264
2023,13,NOR,-97.42472814508437
2023,13,OCO,-92.38632141929702
2023,13,PER,-76.40305518007153
2023,13,PIA,-106.4562592704533
2023,13,RUS,13.001083004610337
2023,13,SAI,-74.41563908709486
2023,13,SAR,-515.5326507759164
2023,13,STR,-253.6998962477228
2023,13,TSU,-338.2308563252318
2023,13,VER,-158.41584780423545
2023,13,ZHO,-34.546596748803495
2023,14,ALB,33.53259191565758
2023,14,ALO,-1.7394752727450395
2023,14,BOT,-13.054272103752737
2023,14,GAS,48.80947858130821
2023,14,HAM,-6.051236495539342
2023,14,HUL,37.732950877501025
2023,14,LAW,45.11150535568777
2023,14,LEC,4.353075602266472
2023,14,MAG,26.60691043648876
