Year,Round,Driver,Constructor,GridPosition,Position,Is_DNF,Points
2022,21,LEC,ferrari,5,4,0,12.0
2022,21,ALO,alpine,17,5,0,10.0
2022,21,VER,red_bull,3,6,0,8.0
2022,21,PER,red_bull,4,7,0,6.0
2022,21,OCO,alpine,16,8,0,4.0
2022,21,BOT,alfa,14,9,0,2.0
2022,21,STR,aston_martin,15,10,0,1.0
2022,21,VET,aston_martin,9,11,0,0.0
2022,21,ZHO,alfa,13,12,0,0.0
2022,21,MSC,haas,12,13,0,0.0
2022,21,GAS,alphatauri,10,14,0,0.0
2022,21,ALB,williams,19,15,0,0.0
2022,21,LAT,williams,18,16,0,0.0
2022,21,TSU,alphatauri,0,17,0,0.0
2022,21,NOR,mclaren,6,18,1,0.0
2022,21,MAG,haas,8,19,1,0.0
2022,21,RIC,mclaren,11,20,1,0.0
2022,22,VER,red_bull,1,1,0,25.0
2022,22,LEC,ferrari,3,2,0,18.0
2022,22,PER,red_bull,2,3,0,15.0
2022,22,SAI,ferrari,4,4,0,12.0
2022,22,RUS,mercedes,6,5,0,10.0
2022,22,NOR,mclaren,7,6,0,9.0
2022,22,OCO,alpine,8,7,0,6.0
2022,22,STR,aston_martin,14,8,0,4.0
2022,22,RIC,mclaren,13,9,0,2.0
2022,22,VET,aston_martin,9,10,0,1.0
2022,22,TSU,alphatauri,11,11,0,0.0
2022,22,ZHO,alfa,15,12,0,0.0
2022,22,ALB,williams,19,13,0,0.0
2022,22,GAS,alphatauri,17,14,0,0.0
2022,22,BOT,alfa,18,15,0,0.0
2022,22,MSC,haas,12,16,0,0.0
2022,22,MAG,haas,16,17,0,0.0
2022,22,HAM,mercedes,5,18,1,0.0
2022,22,LAT,williams,20,19,1,0.0
2022,22,ALO,alpine,10,20,1,0.0
2023,1,VER,red_bull,1,1,0,25.0
2023,1,PER,red_bull,2,2,0,18.0
2023,1,ALO,aston_martin,5,3,0,15.0
2023,1,SAI,ferrari,4,4,0,12.0
2023,1,HAM,mercedes,7,5,0,10.0
2023,1,STR,aston_martin,8,6,0,8.0
2023,1,RUS,mercedes,6,7,0,6.0
2023,1,BOT,alfa,12,8,0,4.0
2023,1,GAS,alpine,20,9,0,2.0
2023,1,ALB,williams,15,10,0,1.0
2023,1,TSU,alphatauri,14,11,0,0.0
2023,1,SAR,williams,16,12,1,0.0
2023,1,MAG,haas,17,13,1,0.0
2023,1,DEV,alphatauri,19,14,1,0.0
2023,1,HUL,haas,10,15,1,0.0
2023,1,ZHO,alfa,13,16,1,0.0
2023,1,NOR,mclaren,11,17,1,0.0
2023,1,OCO,alpine,9,18,1,0.0
2023,1,LEC,ferrari,3,19,1,0.0
2023,1,PIA,mclaren,18,20,1,0.0
2023,2,PER,red_bull,1,1,0,25.0
2023,2,VER,red_bull,15,2,0,19.0
2023,2,ALO,aston_martin,2,3,0,15.0
2023,2,RUS,mercedes,3,4,0,12.0
2023,2,HAM,mercedes,7,5,0,10.0
2023,2,SAI,ferrari,4,6,0,8.0
